date_of_stop,time_of_stop,agency,subagency,description,location,latitude,longitude,accident,belts,personal_injury,property_damage,fatal,commercial_license,hazmat,commercial_vehicle,alcohol,work_zone,state,vehicletype,year,make,model,color,violation_type,charge,article,contributed_to_accident,race,gender,driver_city,driver_state,dl_state,arrest_type,geolocation
2013-09-24,17:11:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,8804 FLOWER AVE,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2008,FORD,4S,BLACK,Citation,13-401(h),Transportation Article,false,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,
2012-12-20,00:41:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,NORFOLK AVE /  ST ELMO AVE,38.9835782,-77.09310515,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,AUDI,4S,GRAY,Citation,21-902(b1),Transportation Article,false,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,"(38.9835782, -77.09310515)"
2012-07-20,23:12:00,MCP,"5th district, Germantown",FAILURE TO STOP AT STOP SIGN,WISTERIA DR @ WARING STATION RD,39.1618098166667,-77.25358095,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2002,TOYT,4S,RED,Citation,21-707(a),Transportation Article,false,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1618098166667, -77.25358095)"
2012-03-19,16:10:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CLARENDON RD @ ELM ST. N/,38.9827307333333,-77.1007551666667,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,1996,HONDA,CIVIC,SILVER,Citation,21-1124.2(d2),Transportation Article,false,HISPANIC,M,ARLINGTON,VA,VA,A - Marked Patrol,"(38.9827307333333, -77.1007551666667)"
2014-12-01,12:52:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE STOP AND YIELD AT THRU HWY,CHRISTOPHER AVE/MONTGOMERY VILLAGE AVE,39.1628883333333,-77.2290883333333,false,false,false,true,false,false,false,false,false,false,MD,02 - Automobile,2001,HONDA,ACCORD,SILVER,Citation,21-403(b),Transportation Article,false,BLACK,F,UPPER MARLBORO,MD,MD,A - Marked Patrol,"(39.1628883333333, -77.2290883333333)"
2012-06-09,21:19:00,MCP,"3rd district, Silver Spring",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,2068 HARLEQUIN TERRACE,39.06914295,-76.9696780666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,CHEVROLET,IMPALA,SILVER,Citation,22-412.3(b),Transportation Article,false,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06914295, -76.9696780666667)"
2012-09-11,21:47:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,TWIG RD AT GOOD HOPE RD,39.09619885,-76.98696215,false,true,false,false,false,false,false,false,false,false,MD,02 - Automobile,2009,DODGE,CHARGER,BLACK,Citation,16-303(d),Transportation Article,false,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.09619885, -76.98696215)"
2012-11-04,01:14:00,MCP,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,RANDOLPH RD @ SPRINGTREE DR,39.0583676,-77.0479825666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,FORD,TAURUS,WHITE,Citation,21-902(a2),Transportation Article,false,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0583676, -77.0479825666667)"
2012-08-27,00:04:00,MCP,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",GERMANTOWN RD@CLOPPER,39.1612861666667,-77.2837891833333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,INFINITY,QX4,SILVER,Citation,16-303(h),Transportation Article,false,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1612861666667, -77.2837891833333)"
2012-05-21,16:47:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,CLUB DR/CONNECTICUT AVE,38.9893187,-77.0753899,false,false,false,false,false,false,false,false,false,false,MD,05 - Light Duty Truck,2005,TOYT,4 RUNNER,BLACK,Citation,22-412.3(b),Transportation Article,false,BLACK,M,OWINGS MILLS,MD,MD,A - Marked Patrol,"(38.9893187, -77.0753899)"
2013-08-27,00:55:00,MCP,"2nd district, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",CONNECTICUT/CHEVY CHASE LAKE,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2013,HYUNDAI,ELANTRA,GRAY,Citation,21-901.1(b),Transportation Article,false,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,
2013-10-08,13:23:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GEORGIA AVE / BEL PRE RD,39.0933833333333,-77.0795516666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,1993,FORD,PICKUP,BLACK,Citation,13-401(h),Transportation Article,false,HISPANIC,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0933833333333, -77.0795516666667)"
2015-04-24,00:38:00,MCP,"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,EB MONTROSE PKWY/EAST JEFFERSON ST,,,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,2003,DODGE,SPRINTER,WHITE,Citation,21-204(b),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,
2014-01-12,20:56:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",199 E. JEFFERSON ST.,39.0694816666667,-77.162145,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2013,NISSAN,SENTRA,GRAY,Citation,16-303(h),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0694816666667, -77.162145)"
2014-02-14,20:10:00,MCP,"1st district, Rockville",FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY,GATEWAY CENTER DR @ CLARKSBURG RD,39.2348434333333,-77.28153995,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,CADI,STS,BLACK,Citation,21-311(1),Transportation Article,false,WHITE,M,POINT OF ROCK,MD,WV,A - Marked Patrol,"(39.2348434333333, -77.28153995)"
2014-04-09,22:22:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,MAHAN RD ON NEW HAMPSHIRE AVE,39.03408,-76.986785,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,CHEVROLET,IMPALA,WHITE,Citation,16-115(g),Transportation Article,false,BLACK,M,LANDOVER,MD,MD,A - Marked Patrol,"(39.03408, -76.986785)"
2012-12-06,12:34:00,MCP,Headquarters and Special Operations,PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,FLOWER AVE @ PINEY BRANCH,38.9984182,-77.00384695,false,false,false,false,false,false,false,false,false,false,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(c),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(38.9984182, -77.00384695)"
